Entity,Code,Year, (% of GDP)
Chile,2010,6.96860594,
Chile,2011,7.00457914,
Chile,2012,7.23794642,
Chile,2013,7.5312947,
China,2003,4.82123292,
China,2004,4.72284375,
China,2005,4.65846996,
China,2006,4.52241742,
China,2007,4.31833293,
China,2008,4.58905193,
China,2009,5.07535532,
China,2010,4.88633979,
China,2011,5.02886408,
China,2012,5.26451547,
China,2013,5.38570406,
Colombia,2003,5.92269295,
Colombia,2004,5.37077635,
Colombia,2005,5.8158366,
Colombia,2006,6.1117047,
Colombia,2007,6.25336641,
Colombia,2008,6.61993597,
Colombia,2009,7.01240715,
Colombia,2010,6.75752454,
Colombia,2011,6.63578902,
Colombia,2012,6.93347013,
Colombia,2013,6.8432,
Comoros,2003,3.64985651,
Comoros,2004,3.95907616,
Comoros,2005,4.31649402,
Comoros,2006,4.57135897,
Comoros,2007,4.93045333,
Comoros,2008,5.13058242,
Comoros,2009,3.8159446,
Comoros,2010,5.82480352,
Comoros,2011,6.09705013,
Comoros,2012,7.10723668,
Comoros,2013,6.50938357,
Congo,2003,2.61050747,
Congo,2004,2.55529589,
Congo,2005,2.42171832,
Congo,2006,2.3727083,
Congo,2007,2.53770363,
Congo,2008,2.08514176,
Congo,2009,2.26558576,
Congo,2010,2.29284845,
Congo,2011,2.79015169,
Congo,2012,3.97634646,
Congo,2013,5.09464112,
Costa Rica,2003,8.44923734,
Costa Rica,2004,7.79839004,
Costa Rica,2005,7.73973795,
Costa Rica,2006,7.8231858,
Costa Rica,2007,8.36985934,
Costa Rica,2008,9.00515369,
Costa Rica,2009,9.68658882,
Costa Rica,2010,9.65747228,
Costa Rica,2011,9.72939981,
Costa Rica,2012,9.55968402,
Costa Rica,2013,9.4665247,
Cote d'Ivoire,2003,4.65208666,
Cote d'Ivoire,2004,5.23740268,
Cote d'Ivoire,2005,5.3896073,
Cote d'Ivoire,2006,5.87099688,
Cote d'Ivoire,2007,6.34588449,
Cote d'Ivoire,2008,6.20550231,
Cote d'Ivoire,2009,6.41352727,
Cote d'Ivoire,2010,6.32384065,
Cote d'Ivoire,2011,6.42052546,
Cote d'Ivoire,2012,6.14322312,
Cote d'Ivoire,2013,5.80954361,
Croatia,2003,6.34665765,
Croatia,2004,6.55583737,
Croatia,2005,6.89409977,
Croatia,2006,6.95312104,
Croatia,2007,7.44334788,
Croatia,2008,7.7045206,
Croatia,2009,8.17701771,
Croatia,2010,8.24785313,
Croatia,2011,7.79909419,
Croatia,2012,7.79722563,
